Molecule_name,Bioavailability,ACD_logS_Intrinsic,ACD_LogP,ACD_MW,ACD_PSA,ACD_FRB,ACD_Rule_Of_5,ACD_LogD_3,ACD_LogD_4,Num_H_Donors,Num_H_Acceptors,Num_H_total,Molecular_Volume,Molecular_SurfaceArea,RadOfGyration,ACD_LogD_2**2,ACD_LogD_3**2,ACD_MW**2,canonical_smiles
Loteprednol Etabonate,0,-5.25,3.1700001,466.95001,99.129997,8,0,3.1700001,3.1700001,1,7,8,315.54999,437.20001,4.3715563,10.048901,10.048901,218042.31,CCOC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)C(=O)OCCl
Sertaconazole,0,-6.1199999,7.4899998,437.76999,55.290001,6,1,7.0799999,7.4099998,0,2,2,268.22,383.84,4.4791269,39.564098,50.1264,191642.56,c1cc2c(csc2c(c1)Cl)CO[C@@H](Cn3ccnc3)c4ccc(cc4Cl)Cl
Lapatinib,0,-8.0200005,5.1399999,581.06,114.73,10,2,4.77,5.0799999,2,7,9,364.26001,522.22998,6.6485019,15.210001,22.752899,337630.72,CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F
Clotrimazole,0,-4.8800001,5.4400001,344.84,17.82,4,1,5.29,5.4200001,0,1,1,226.72,320.69,3.6407769,22.3729,27.9841,118914.63,c1ccc(cc1)C(c2ccccc2)(c3ccccc3Cl)n4ccnc4
Lubiprostone,0,-3.3900001,2.8499999,390.45999,83.830002,12,0,1.12,0.25,2,5,7,264.45001,376,5.6376739,4.1615996,1.2544,152459,CCCCC([C@]1(CC[C@H]2[C@H](O1)CC(=O)[C@@H]2CCCCCCC(=O)O)O)(F)F
Valrubicin,0,-7.3200002,6.5599999,723.64001,215.22,15,4,6.4499998,6.04,5,13,18,444.17999,654.21002,5.5801377,42.902504,41.602497,523654.88,CCCCC(=O)OCC(=O)[C@@]1(Cc2c(c(c3c(c2O)C(=O)c4cccc(c4C3=O)OC)O)[C@H](C1)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)NC(=O)C(F)(F)F)O
Vecuronium,0,-1.21,1.79,557.83002,55.84,6,1,0.81,0.91000003,0,5,5,422.91,562.01001,5.7953115,0.62410003,0.65609998,311174.31,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C
Pancuronium,0,-1.12,0.74000001,572.85999,52.599998,6,1,0.74000001,0.74000001,0,4,4,437.32001,588.15002,5.6235471,0.54760003,0.54760003,328168.56,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C
Succinylcholine,0,0.31,-5.8600001,290.39999,52.599998,11,0,-5.8600001,-5.8600001,0,4,4,220.53999,352.72,6.0534673,34.339603,34.339603,84332.156,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
Atracurium,0,-1.99,1.04,929.14001,126.44,26,2,1.04,1.04,0,12,12,663.01001,954.51001,9.9320612,1.0816,1.0816,863301.19,C[N@@+]1(CCc2cc(c(cc2[C@@H]1Cc3ccc(c(c3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(CCc5cc(c(cc5[C@@H]4Cc6ccc(c(c6)OC)OC)OC)OC)C
Vinblastine,0,-3.8399999,4.1799998,810.96997,154.10001,12,2,3.1099999,3.8199999,3,12,15,563.53998,775.87,5.4971786,3.7248998,9.6720991,657672.31,CC[C@@]1(C[C@H]2C[C@@](c3c(c4ccccc4[nH]3)CC[N@@](C2)C1)(c5cc6c(cc5OC)N([C@@H]7[C@]68CC[N@@]9[C@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC)O
Pentamidine,0,-3.8299999,2.47,340.42001,118.2,10,1,-0.52999997,-0.52999997,4,4,8,227.39999,358.54999,5.1728539,0.28089997,0.28089997,115885.79,[H]/N=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=N/[H])/N
Mycophenolate_mofetil,0,-3.21,3.1500001,433.48999,94.529999,11,0,2.8599999,3.0999999,1,8,9,304.92001,435.48001,6.1217837,4.5796003,8.1795998,187913.58,Cc1c2c(c(c(c1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O)C(=O)OC2
